state,sex,age_group,population
MS,Female,25-34 years,197263
MS,Male,25-34 years,192333
MS,All Sexes,Under 25 years,1016151
MS,Female,Under 25 years,488001
MS,Male,Under 25 years,528150
MS,All Sexes,35-44 years,371390
MS,Female,35-44 years,190564
MS,Male,35-44 years,180826
MS,All Sexes,45-54 years,389464
MS,Female,45-54 years,201451
MS,Male,45-54 years,188013
MS,All Sexes,55-64 years,372601
MS,Female,55-64 years,195365
MS,Male,55-64 years,177236
MS,All Sexes,65-74 years,249257
MS,Female,65-74 years,133676
MS,Male,65-74 years,115581
MS,All Sexes,75-84 years,128677
MS,Female,75-84 years,75290
MS,Male,75-84 years,53387
MS,All Sexes,85 years and over,48698
MS,Female,85 years and over,33955
MS,Male,85 years and over,14743
MS,All Sexes,Total,2965834
MS,Female,Total,1515565
MS,Male,Total,1450269
MT,All Sexes,25-34 years,128539
MT,Female,25-34 years,62405
MT,Male,25-34 years,66134
MT,All Sexes,Under 25 years,317532
MT,Female,Under 25 years,149817
MT,Male,Under 25 years,167715
MT,All Sexes,35-44 years,116416
MT,Female,35-44 years,57131
MT,Male,35-44 years,59285
MT,All Sexes,45-54 years,132165
MT,Female,45-54 years,66383
MT,Male,45-54 years,65782
MT,All Sexes,55-64 years,150446
MT,Female,55-64 years,76208
MT,Male,55-64 years,74238
MT,All Sexes,65-74 years,99684
MT,Female,65-74 years,49573
MT,Male,65-74 years,50111
MT,All Sexes,75-84 years,50018
MT,Female,75-84 years,26766
MT,Male,75-84 years,23252
MT,All Sexes,85 years and over,21166
MT,Female,85 years and over,13492
MT,Male,85 years and over,7674
MT,All Sexes,Total,1015966
MT,Female,Total,501775
MT,Male,Total,514191
NC,All Sexes,25-34 years,1294386
NC,Female,25-34 years,656605
NC,Male,25-34 years,637781
NC,All Sexes,Under 25 years,3186096
NC,Female,Under 25 years,1522630
NC,Male,Under 25 years,1663466
NC,All Sexes,35-44 years,1307758
NC,Female,35-44 years,667714
NC,Male,35-44 years,640044
NC,All Sexes,45-54 years,1373899
NC,Female,45-54 years,704489
NC,Male,45-54 years,669410
NC,All Sexes,55-64 years,1249299
NC,Female,55-64 years,658339
NC,Male,55-64 years,590960
NC,All Sexes,65-74 years,864218
NC,Female,65-74 years,464294
